lemmatize,pos,Total_Count
keep,VB,4
comfortable,JJ,4
transactional,JJ,4
rapidly,RB,4
paid,NN,4
friday,NN,4
nosql,NN,4
full-time,NN,4
datasets,NNS,4
python-centric,JJ,4
senior,JJ,4
thing,NNS,4
result,NNS,4
class,NN,4
actionable,JJ,4
root,NN,4
test,NN,4
computer,NN,4
proficient,NN,4
getting,VBG,4
constantly,RB,4
client,NN,4
when,WRB,4
row,NNS,4
4+,CD,4
solve,NN,4
go,VB,3
fundamental,NNS,3
made,VBN,3
stage,NN,3
generate,NN,3
shape,NN,3
amazon,NN,3
imperfect,NN,3
amplitude,NN,3
fullstack,NN,3
stack,NN,3
startup,NN,3
scaling,VBG,3
ample,NN,3
intuitive,JJ,3
local,JJ,3
inconsistency,NNS,3
gap,NNS,3
stong,NN,3
google,NN,3
long-term,JJ,3
advanced,JJ,3
evangelize,VB,3
functional,JJ,3
accuracy,NN,3
similar,JJ,3
well,RB,3
aggregating,VBG,3
solutioning,VBG,3
leveraging,VBG,3
initiative,NNS,3
high-quality,NN,3
finding,VBG,3
level,NN,3
leading,VBG,3
grow,NN,3
ai,NN,3
familiar,JJ,3
solving,VBG,3
sourcing,VBG,3
wine-downs,NNS,3
largescale,NN,3
something,NN,3
extract,NNS,3
fleet,NN,3
hive,NN,3
extensive,JJ,3
simulation,NN,3
sit,NN,3
scratch,NN,3
grows,NNS,3
small,JJ,3
ingest,NN,3
exploratory,NN,3
growth,NN,3
guarantee,NN,3
focused,VBN,3
focus,NN,3
search,NN,3
activity,NN,3
acquire,VB,3
spreadsheet,NN,3
format,NNS,3
sure,NN,3
improving,VBG,3
visualization,NNS,3
401k,CD,3
collecting,VBG,3
customized,VBN,3
project,NN,3
area,NN,3
mysql,NN,3
time-zone,NN,3
multifaceted,VBN,3
databasesdata,NN,3
pattern,NNS,3
recharge,NN,3
perception,NN,3
perfect,NN,3
xwing,VBG,3
3-5,JJ,3
deliver,NN,3
term,NNS,3
recommendation,NNS,3
year,NN,3
picnic,NNS,3
dental,NN,3
deploy,NN,3
design,NNS,3
task,NNS,3
case,NNS,3
next,JJ,3
cross-functionally,RB,3
ninja-level,JJ,3
troubleshoot,NN,3
provides,VBZ,3
concern,NNS,3
conducting,VBG,3
compute,NN,3
trying,VBG,3
orchestration,NN,3
proven,NN,3
connection,NNS,3
component,NN,3
overlap,NN,3
providing,VBG,3
transport,NN,3
combining,VBG,3
assessment,NN,3
operationalization,NN,3
types:,NN,3
owner,NN,3
query,NNS,3
pacific,NN,3
protection,NN,3
aspect,NNS,3
rapid,JJ,3
towards,NNS,3
visually,RB,3
metric,NNS,3
provider,NNS,3
map-reduce,NN,3
manipulating,VBG,3
principle,NNS,3
subject,NN,3
successful,JJ,3
efficiently,RB,3
–,NN,3
early,RB,3
70%+,CD,3
market,NN,3
postgres,NNS,3
preferred,VBN,3
1,CD,3
brokerage,NN,3
autonomy,NN,3
supply,NN,3
planning,NN,3
validation,NNS,3
effective,JJ,3
matter,NN,3
meaningful,NN,3
way,NN,3
prediction,NN,3
7+,CD,3
structured,VBN,3
backbone,NN,3
capacity,NN,3
merge,NN,3
storytelling,VBG,3
background,NN,3
visa,NN,3
tableau,NN,3
table,NNS,3
relax,NN,3
app,NN,3
pm,NN,3
dimensional,NN,3
direct,JJ,3
representing,VBG,3
stream,NNS,3
mart,NN,3
plan,NNS,2
protocol,NNS,2
‘big,NN,2
administrative,JJ,2
preserve,NN,2
rubrik's,NN,2
include,NN,2
inclined,JJ,2
wurl,NN,2
problems;,NN,2
internship,NNS,2
promote,NN,2
powerful,JJ,2
sale,NNS,2
adapt,NN,2
productionizing,VBG,2
investigation,NNS,2
10tb,CD,2
performs,NNS,2
production-grade,NN,2
integration;,NN,2
portal,NN,2
intelligencedata,NN,2
ruby,NN,2
interactivity,NN,2
address,NN,2
program,NNS,2
past,NN,2
adherence,NN,2
party,NN,2
adhering,VBG,2
administration,NN,2
s3vi,NN,2
maintenance,NN,2
involved,VBN,2
mechanical,JJ,2
resolving,VBG,2
massage,NNS,2
massive,JJ,2
remote,NN,2
reliably,RB,2
light,NNS,2
lifecycle,NN,2
resolve,NN,2
mentoring,VBG,2
leverage,NN,2
method,NN,2
accessible,JJ,2
learn,NN,2
relatedinstruments,NNS,2
mart,NNS,2
linux,NN,2
microservices,NNS,2
manner,NN,2
academic,JJ,2
able,JJ,2
ability,NNS,2
workload,NN,2
repository,NNS,2
machinedeep,NN,2
repository,NN,2
load,NN,2
map,NN,2
love,NNS,2
worked,VBN,2
report,NNS,2
mappingdesign,NN,2
marketing,NN,2
leadership,NN,2
migrate,NN,2
organized,VBN,2
queries;,NN,2
major,JJ,2
no,DT,2
non-relational,JJ,2
junior,NN,2
often,RB,2
querying,VBG,2
operational,JJ,2
national,JJ,2
join,NN,2
job,NNS,2
road,NN,2
oracle,NN,2
java,NN,2
organization,NNS,2
networkdata,NNS,2
action,NN,2
regulated,VBN,2
modify,NN,2
rest,NN,2
recommended,VBN,2
larger,JJR,2
wrangled,VBD,2
modelling,VBG,2
modern,JJ,2
mongo,NN,2
rdbs,NN,2
accurate,NN,2
language,NNS,2
lang,NN,2
landscape,NN,2
multi-year,JJ,2
acquisition,NN,2
keen,NN,2
function,NNS,2
in-depth,NN,2
druid,NN,2
element,NNS,2
electronics,NNS,2
electrical,JJ,2
collaboration,NN,2
effectively,RB,2
ecosystem,NNS,2
combine,NN,2
commercial,JJ,2
dust,NN,2
communication,NN,2
drive,NN,2
executive,NN,2
domain,NN,2
dolby,NN,2
documenting,VBG,2
asset,NNS,2
disney,NN,2
u,PRP,2
dimension,NNS,2
competitive,JJ,2
type:,NN,2
develops,NNS,2
elt,NN,2
structure,NN,2
attention,NN,2
coding,VBG,2
standard,NN,2
evolve,NN,2
amongst,NN,2
standardize,VB,2
star,NN,2
clean,NNS,2
statistic,NNS,2
amount,NNS,2
especially,RB,2
transfer,NN,2
cleansing,VBG,2
environment;,NN,2
store,NN,2
analysis,NNS,2
enough,RB,2
cluster,NN,2
enhancing,VBG,2
analytically,RB,2
coach,NN,2
stream,NN,2
andor,NN,2
development:,NN,2
talented,VBN,2
implemented,VBN,2
consolidation,NN,2
datamodelsrequirement,NN,2
databases;,NN,2
consumer,NN,2
data:,NN,2
timeliness,NN,2
data-related,JJ,2
data-mining,NN,2
context,NN,2
continuous,JJ,2
dashboard,NNS,2
assembly,RB,2
top,NN,2
curated,VBN,2
culture,NN,2
cross,NN,2
critical,JJ,2
toptal,NN,2
volume,NN,2
track,NN,2
train,NN,2
convert,NN,2
consume,NN,2
day-to-day,NN,2
apply,VB,2
consistent,NN,2
determines,NNS,2
tandem,NN,2
detect,NN,2
detail-oriented,JJ,2
detail,NNS,2
desktop,NN,2
wa,NN,2
turn,NN,2
tuning,VBG,2
appropriate,NN,2
deploying,VBG,2
architect,NNS,2
democratize,VB,2
democracy,NN,2
concept,NN,2
concept,NNS,2
tesla,NN,2
decision-making,NN,2
tune,NN,2
third,JJ,2
third-party,NN,2
staff,NN,2
statistical,JJ,2
exercise,NNS,2
buildingoperating,NN,2
boundary,NNS,2
self-serve,NN,2
guidance,NN,2
separated,VBN,2
server,NN,2
broad,JJ,2
service,NN,2
validate,NN,2
geospatial,NN,2
automating,VBG,2
automated,VBN,2
hand,NNS,2
gathering,NN,2
gathered,VBN,2
audit,NNS,2
california,NN,2
signal,NNS,2
campus,NN,2
full,JJ,2
freelance,NN,2
simple,NN,2
utilized,JJ,2
blinky,NN,2
handling,VBG,2
capability,NNS,2
scrum,NN,2
with:,NN,2
advice,NN,2
scientist,NN,2
identifying,VBG,2
baby,NN,2
aggregate,NNS,2
identifies,NNS,2
scientistengineer,NN,2
scientistsengineers,NNS,2
beautiful,NN,2
seasoned,VBN,2
happiest,NN,2
seattle,NN,2
secure,NN,2
benefits:,NN,2
agile,NN,2
availability,NN,2
seeking,VBG,2
bias,NN,2
vendor,NNS,2
selection,NN,2
hardware,NN,2
automate,NN,2
gather,NN,2
user,NNS,2
center,NNS,2
field,NN,2
utilization:,NN,2
feedback,NN,2
well-documented,JJ,2
fairy,NN,2
fact,NNS,2
cataloging,VBG,2
central,JJ,2
find,VB,2
face,NN,2
chain,NN,2
extract,NN,2
extensible,JJ,2
sprinkle,NN,2
challenge,NNS,2
change,NNS,2
field,NNS,2
corp,NN,2
capture,NN,2
focusing,VBG,2
flexing,VBG,2
flight,NN,2
utilize,VB,2
flow,NNS,2
solid,JJ,2
fix,NNS,2
virtualization,NN,1
virtual,JJ,1
transforms,NNS,1
used,VBN,1
professional,NNS,1
prototype,NNS,1
usa,NN,1
transforming,VBG,1
transformation,NNS,1
uiux,NN,1
problem-solving,NN,1
qa,NN,1
wrong,JJ,1
unifiedenterprise,NN,1
unusable,JJ,1
protect,NN,1
us,NNS,1
youve,NN,1
query,NN,1
visa's,NN,1
profiling,VBG,1
put,NN,1
tri,NN,1
twitch,NN,1
validating,VBG,1
programming,VBG,1
value,NN,1
producing,VBG,1
produce,NN,1
unit,NNS,1
university,NN,1
productized,VBN,1
productplatform,NN,1
unit,NN,1
unique,NN,1
yet,RB,1
trustworthy,NN,1
unable,JJ,1
troubleshooting,VBG,1
visualizing,VBG,1
you,PRP,1
years',NN,1
“big,NN,1
trillion,CD,1
video,NN,1
program,NN,1
productionize,NN,1
relationship,NN,1
quite,RB,1
simsr,NN,1
snowflake,NN,1
revenue,NN,1
revamping,VBG,1
retrieving,VBG,1
retrieve,NN,1
sole,NN,1
west,NN,1
retail,JJ,1
result-oriented,JJ,1
sophisticated,JJ,1
space,NN,1
sparksql,NN,1
splunk,NN,1
responsibility,NNS,1
responsibility,NN,1
sponsor,NN,1
week,NN,1
sqlhive,NN,1
web-based,JJ,1
problem,NN,1
square,NN,1
resolution,NN,1
state,NN,1
skills:,NN,1
significant,JJ,1
rail,NNS,1
sftp,NN,1
schedule:,NN,1
schedule,NN,1
scrape,NN,1
script,NNS,1
scriptingdevelopment,NN,1
saving,NNS,1
securely,RB,1
salary,NN,1
sagemaker,NN,1
seek,NN,1
s3,NN,1
run,VB,1
will:,NN,1
rule,NNS,1
self-service,NN,1
rubriks,NN,1
semi-automate,NN,1
serve,NN,1
server,NNS,1
servicenow,NN,1
serving,VBG,1
setup,NN,1
several,JJ,1
requiring,VBG,1
requires,VBZ,1
step,NNS,1
storing,VBG,1
refine,NN,1
technology,NN,1
vp,NN,1
write,NN,1
testing,VBG,1
recommend,NN,1
recognition,NN,1
thorough,NN,1
throughout,IN,1
ticdc,NN,1
reason,NN,1
real,JJ,1
tiktok,NN,1
read,NN,1
timely,RB,1
timeseries,NNS,1
tool,NN,1
writing,VBG,1
toolbox,NN,1
volume,NNS,1
raw,NN,1
toyota,NN,1
tracking,VBG,1
taxonomy,NNS,1
target,NN,1
relative,NN,1
replication,NN,1
story,NN,1
required:,NN,1
strategic,JJ,1
strategizing,VBG,1
streamline,NN,1
wear,NN,1
way,NNS,1
structural,JJ,1
student,NN,1
sub-millisecond,NN,1
super-charge,NN,1
take,VBZ,1
supplement,NN,1
replacement,NN,1
support,NNS,1
supported,VBN,1
repair,NN,1
rely,RB,1
survey,NN,1
sustainment,NN,1
synchronizing,VBG,1
systems;,NN,1
$150-170k,NN,1
intersection,NN,1
proactively,RB,1
demand,NN,1
dataworkflow,NN,1
data”,NN,1
dbt,NN,1
deal,NN,1
debugging,VBG,1
decision,NNS,1
deeply,NN,1
defined,VBN,1
degree,NN,1
delivered,VBN,1
demand,NNS,1
dataanalytic,JJ,1
department,NNS,1
dependency,NN,1
dependency,NNS,1
deploys,NNS,1
depth,NN,1
designingdeveloping,VBG,1
desired,VBN,1
determine,NN,1
developingmaintaining,VBG,1
device,NNS,1
dataset,NN,1
data;,NN,1
diagramming,VBG,1
creative,JJ,1
continuity,NN,1
control,NN,1
convenient,NN,1
coordinating,VBG,1
coordinator,NNS,1
corporate,JJ,1
correct,NN,1
correcting,VBG,1
cost,NN,1
coverage,NN,1
creator,NNS,1
data-set,NN,1
credit,NN,1
curation,NN,1
current,JJ,1
custom,NN,1
customer-facing,NN,1
data!,NN,1
data-based,JJ,1
data-centric,JJ,1
data-focused,JJ,1
data-scientists,NNS,1
devices;,NN,1
dictionary,NNS,1
proactive,NN,1
equivalent,NN,1
engine,NN,1
engine,NNS,1
enjoys,NNS,1
enriched,VBN,1
ensuring,VBG,1
enterprise-class,NN,1
entertainment,NN,1
entity,NN,1
environment,NNS,1
envision,NN,1
escalation,NNS,1
end-to-end,NN,1
etlanalytics,NNS,1
etlextraction,NN,1
evaluate,NN,1
evangelizing,VBG,1
event,NN,1
evidence,NN,1
example,NNS,1
excellent,NN,1
exceptional,JJ,1
excited,VBN,1
enforce,NN,1
enabling,VBG,1
digital,NN,1
education,NN,1
direction,NN,1
directly,RB,1
disney+,NN,1
doe,NN,1
doing:,NN,1
ds,NN,1
easily,RB,1
eco,NN,1
ecosystem,NN,1
edge,NN,1
effectiveness,NN,1
enables,NNS,1
effort,NNS,1
either,DT,1
elastic,JJ,1
elasticache,NN,1
elasticsearch,NN,1
elasticsearchdruid,NN,1
emergent,NN,1
emphasis,NN,1
employee,NNS,1
empowering,VBG,1
continued,JJ,1
content,NN,1
consuming,VBG,1
ant,NN,1
alation,NN,1
alert,NNS,1
alerting,VBG,1
align,NN,1
allowing,VBG,1
allows,NNS,1
along,IN,1
alongside,RB,1
although,IN,1
always,RB,1
apache,NN,1
adoption-,NN,1
apart,RB,1
applicant,NNS,1
applications;,NN,1
applied,VBN,1
approach,NN,1
architectural,JJ,1
art,NN,1
ass,NN,1
at,IN,1
attraction,NN,1
advertisers;,NN,1
administrator,NNS,1
consumer,NNS,1
4,CD,1
*3+,NN,1
*permanent,NN,1
1-2,JJ,1
1-3,JJ,1
10,CD,1
10+,CD,1
1553,CD,1
2+,CD,1
3,CD,1
3、recommend,CD,1
40,CD,1
additionally,RB,1
5,CD,1
6,CD,1
6+,CD,1
6、collaborate,CD,1
8+,CD,1
_*candidates,NNS,1
abstraction,NNS,1
accenture,NN,1
accessibility,NN,1
activity,NNS,1
authorized,VBN,1
azure,NN,1
b,NN,1
complete,JJ,1
coaching,VBG,1
coast,NN,1
collaborates,NNS,1
collaborating,VBG,1
collected,VBN,1
come,VBZ,1
communication,NNS,1
community,NN,1
commure,NN,1
competition,NN,1
compliance,NN,1
bachelor,NNS,1
component,NNS,1
computed,VBN,1
computing,VBG,1
configuration,NN,1
configuration,NNS,1
connected,VBN,1
consistency,NN,1
constructability,NN,1
consulting,VBG,1
consumed,VBN,1
cluster;,NN,1
cleanse,NN,1
cleaning,NN,1
claim,NNS,1
basis,NN,1
before,IN,1
benchmarking,NN,1
beyond,IN,1
bio-tech,NN,1
bonus,NN,1
boosting,VBG,1
breathe,NN,1
bridge,NN,1
bring,NN,1
bringing,VBG,1
builder,NN,1
built,NN,1
campus,NNS,1
capable,JJ,1
care,NN,1
career,NN,1
catalogging,VBG,1
challenging,VBG,1
check,NNS,1
citizen,NNS,1
execute,NN,1
expand,NN,1
expected,VBN,1
mindset,NN,1
meaning,NN,1
measuring,VBG,1
meeting,NN,1
membership,NN,1
meta-data,NN,1
metadatadata,NNS,1
metro,NN,1
microsoft,NN,1
migration,NN,1
million,NNS,1
mine,NN,1
math,NN,1
mission,NN,1
mission-critical,JJ,1
modernization,NN,1
monday,NN,1
months+,NN,1
movement,NN,1
moving,VBG,1
mpp,NN,1
multifunctional,NN,1
munging,VBG,1
maven,RB,1
maternity,NN,1
latency,NNS,1
low,JJ,1
layer,NNS,1
le,RBR,1
least,JJS,1
leave,VB,1
life,NN,1
limited,JJ,1
lineage,NN,1
logging,VBG,1
long,RB,1
love,NN,1
mainspring,VBG,1
mastering,VBG,1
maker,NNS,1
management:,NN,1
manager,NN,1
manipulation,NN,1
manual,JJ,1
many,JJ,1
map,NNS,1
mark,NN,1
mask,NN,1
mastered,VBN,1
networking,NN,1
next-gen,NN,1
nirvana,NNS,1
plus:,NN,1
pattern,NN,1
peer,NNS,1
peoplesoft,NN,1
per,IN,1
petabyte-scale,NN,1
physical,JJ,1
piece,NNS,1
pipelining,VBG,1
plan,NN,1
please,NN,1
point,NNS,1
non-computer,NN,1
populate,NN,1
position,NNS,1
possible,JJ,1
practical,JJ,1
practice,NN,1
predict,NN,1
preferably,RB,1
preference,NN,1
prepare,NN,1
principal,NN,1
partner,NNS,1
part-time,NN,1
part,NNS,1
parental,NN,1
normal,JJ,1
off-nominal,JJ,1
oltp,NN,1
on-boarding,NN,1
onboard,NN,1
ongoing,VBG,1
ontology,NNS,1
open,JJ,1
open-source,NN,1
operation,NN,1
opportunity,NNS,1
opt,NN,1
optimized,VBN,1
organizational,JJ,1
outbound,NN,1
overall,JJ,1
overhead,NN,1
oversee,NN,1
owns,VBZ,1
packaging,NN,1
panda,NNS,1
latentview,NN,1
latency,NN,1
exploration,NN,1
generated,VBN,1
frame,NN,1
framework,NN,1
fulfill,NN,1
functionally,RB,1
future,NN,1
gain,NN,1
gateway,NN,1
gc,NN,1
gch1b,NN,1
gdw,NN,1
genius,NN,1
foundation:,NN,1
geo,NN,1
get,VB,1
global,JJ,1
got,VBD,1
gradle,NN,1
graph,NN,1
grasp,NN,1
growth;,NN,1
guideline,NNS,1
guiding,VBG,1
foundational,JJ,1
foundation,NN,1
lakedata,NN,1
feeds;,NN,1
explore,NN,1
exposure,NN,1
extend,NN,1
facilitates,NNS,1
facilitation,NN,1
facility,NNS,1
facing,VBG,1
failure,NN,1
fast,NN,1
feed,NNS,1
feel,NN,1
fostering,VBG,1
fidelity,NN,1
financial,JJ,1
firmware,NN,1
first-class,NN,1
five,CD,1
fix,NN,1
flex,NN,1
focus,NNS,1
followed,VBD,1
form,NNS,1
h4,NN,1
hacked,VBN,1
hear,NN,1
interactive,JJ,1
ingestionprocessing,VBG,1
initial,JJ,1
innovate,NN,1
innovation,NN,1
insightful,NN,1
institute,NN,1
instrumentation,NN,1
integrated,VBN,1
integrating,VBG,1
interaction,NN,1
interest,NN,1
help,NNS,1
*,NN,1
intimate,NN,1
ivy,NN,1
javascript,NN,1
jenkins,NNS,1
jira,NN,1
junior-level,NN,1
key,NNS,1
kubernetes,NNS,1
labeling,VBG,1
informed,VBN,1
informatica,NN,1
influence,NN,1
industrial,JJ,1
helping,VBG,1
hence,NN,1
high-performance,NN,1
high-tech,NN,1
highest,JJS,1
hire,NN,1
hireart,NN,1
hivesql,NN,1
holiday,NNS,1
hour,NNS,1
hr,NN,1
https:githubcompingcapticdc,NN,1
huge,JJ,1
hulu,NN,1
human,NN,1
hygiene,NN,1
ie,NN,1
image,NNS,1
impactful,NN,1
in-house,NN,1
includes:,NN,1
目前急招,NN,1
